Text,Label
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racist
Drasko they didn't cook half a bird you idiot #mkr,racist
Hopefully someone cooks Drasko in the next ep of #MKR,racist
of course you were born in serbia...you're as fucked as A Serbian Film #MKR,racist
"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",racist
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racist
Drasko they didn't cook half a bird you idiot #mkr,racist
Hopefully someone cooks Drasko in the next ep of #MKR,racist
of course you were born in serbia...you're as fucked as A Serbian Film #MKR,racist
"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR",racist
"Will someone pls assist Colin in the washing of his hair. Sorry Colin, big fan but pls... Some shampoo mate! #mkr",none
I'm done - won't bother with the rest of this pathetic shit show #mkr,none
#mkr just isn't the same without @chloejames____ and Kelly.,none
That blonde chick from #mkr is wearing my hot pink #becandbridge dress!! Lol,none
Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.,none
"Lynn and Tony disappointed me, lovely people but they cannot cook. #MKR",none
Nothing like a little Colin to cheer up this mums night after a loooong day #MKR ;),none
#mkr 3 the girls are gonna be pissed about that,none
I hate y'all  #MKR,none
"Haha ""my little chickeny thing"" #MKR",none
"#mkr if they had to walk up and down there steps to use the loo all night..
2 much effort @Sarah_jane666",none
Finally a meal without dracko piping up  #MKR,none
I look at all these #MKR meals and wonder how many stopped for a hamburger afterwards.,none
#mkr well they liked there dessert!,none
#mkr at least there are judging honestly,none
@mykitchenrules such a shame Lyn and Tony had to leave! They didn't deserve it! #MKR,none
"Those 2 making it through to the next round, Colin has just lost all credibility in my eyes.#MKR @mykitchenrules",none
"""I needed a dessert""  #mkr",none
These two are revolting #MKR #MKR2015,none
Cream and crumbs on a plate....work it gurls #MKR,none
Katie and Nikki can't cook!!! #MKR,none
Double drool! Colin and Manu  #MKR @manufeildel @FourinHand @mykitchenrules,none
STFU drasko #MKR,none
Ch 7 has taken things a little too literal last year when people said they wanted more instant restaurants #BeCarefulWhatYouWishFor #MKR,none
Found this little gem! #MKR on our way to #CableBeach  http://t.co/m6SzQbmHdK,none
Are you upset about tonight's elimination result? #MKR,none
Catching up on #MKR. Did Nikki &amp; Katie get a script to say the things they are saying because I wouldn't be caught dead saying any of that!,none
The dessert looks terrible  #MKR,none
That's just sloppy shit on a plate - deconstructed really - give it up for disaster  #mkr,none
"@TodClarey: lemon ""tart"" looks like shit #MKR

Please- don't  hold back - tell it how you see it",none
Has anyone made a Twitter account for Rob's hat yet? #MKR,none
WTF am I watching? #mkr,none
There's no way I can watch yet another round of instant restaurants. Switching off! #MKR,none
#mkr that was useless from nikki,none
"loving the tweets on the #Sassy girls cooking on #MKR tonight! 
#MyKitchenRules",none
Have the #MKR producers forgotten where kitchen headquarters is or something? another instant restaurant round!  really? #overkill,none
What is this shit? #mkr,none
OMG SHUT UP DRASKO AND BIANCA #MKR #FINALFIVE,none
#MKR omg my dad and I are screaming at the TV.,none
It's insane they keep bringing people back. When will this show end #MKR,none
That does not look like a hot pot to me.. This has gotta be interesting.. @mykitchenrules #MKR2015 #MKR,none
"SERIOUSLY, not ANOTHER instant restaurant round??  #MKR",none
Cannot believe there is round 4 of instant restaurants #MKR,none
Is #MKR2015 going to finish in September? #MKR,none
AHAHAHA I knew that would happen. Nothing new happens on #MKR,none
@kate_1985 - not sure!! But never fear @mykitchenrules still has 751 teams left and another Instant Restaurant round to come. #MKR,none
#MKR Night all. Enjoy!,none
THEYRE DOING IT AGAIN WTF #MKR,none
They could have cut and cooked their own capsicum e.t.c #MKR,none
I'm sure that sausage on the hotpot looks more like a turd.. #MKR,none
#mkr is feeling a little rigged this year.,none
@Matt_Cooke86 Nutrition is key to closing the .#Aboriginal life expectancy gap http://t.co/IHtNiRJMa9 @croakeyblog http://t.co/ktnqAD0TM3,none
Please enjoy my deconstructed lemon tart. #MKR http://t.co/PhhcBgvp5L,none
They barely cooked anything on that entre #MKR,none
I've seen soup kitchens that provide a higher quality of food. Seriously. #MKR #MKR2015,none
I love it when these judges compromise their values because the channel 7 script writers tell them to. No credibility. #MKR,none
All this endless instant restaurant rounds is making me develop the DDT's every time I touch a whisk. #MKR,none
This show is officially fucked!!!!! Space Cadets get to stay FFS #MKR,none
"Ain't gonna lie, think I might try pomegranate in a cous cous salad.. Sounds yum  #MKR",none
Can't wait to see who finally wins this competition....in 27 months #mkr,none
#MKR I really hope they get out-sassed,none
Looks like it was an interesting night on #MKR http://t.co/dOncCrWZrh,none
"Stuffing up instant couscous should be an immediate elimination.
#MKR",none
Instant Restaurant round 47. #mkr,none
But nobody likes you #prayforlynn&amp;tony #MKR ,none
Here is my deconstructed Vanilla Cake...some assembly required #MKR http://t.co/Ah1suwvPJo,none
#MKR2015 #MKR http://t.co/mD9TyU1MOn,none
So this season of #MKR is going to finish in which decade? Such a drag,none
"That CANNOT be their house, no way!!! #MKR",none
They weren't kidding when they said deconstructed! #mkr,none
Oh another trip around the country? Will they be cooking shark? Because this show just jumped one and maimed it beyond recognition #mkr,none
My housemate was inspired. #mkr http://t.co/YrtSVNPknK,none
"Tonight's dessert is called ""Remains of the Day"". #MKR",none
I thought this was My KITCHEN Rule not My MICROWAVE Rules... #MKR,none
@4corners Lots watching #MKR who are oblivious about where tin for their phones and computers come from. Ignorance is bliss?,none
I hope history doesn't assume that Gen Y males are all like Drasko. #MKR,none
British lads Will and Steve are taking on the @mykitchenrules Instant Restaurant tonight and they're on now #MKR http://t.co/UA8kwVBEnn,none
Things that take longer than the Cricket World Cup.... #MKR,none
Another bloody instant restaurant week?!?! Seriously! They just jumped the shark riding two other sharks powered by shark power #MKR,none
#MKR #MKR2015 #killerblondes #mykitchenrules #eatlikelopizzo #funnyblog #episodesynopsis http://t.co/OQWFinbwc9,none
@mykitchenrules Hot pot?  Come on girls  . About as technical as a ham and cheese toastie. #disappointing #MKR,none
you're a bit wet....#MKR,none
"If the judges didn't give their critique first, the other contestants wouldn't know what to say; they're just copying the judges #MKR",none
#MKR More comebacks than Johnny Farnham!,none
you're just upset you aren't getting free feeds for the next three months #MKR,none
"#MKR tonight, #sassy overload  @katepatto @prancingaround @charlee1024",none
"Corsetry, bloomers and hat pins will be back in fashion by the time this series ends. #MKR",none
@pwafork it is awful Come Dine With Me because no one gets drunk on #mkr!,none
"Here's a suggestion, let's make Manu and Colin the main judges for the show! #MKR",none
My little lemon tarts #mkr http://t.co/XcwiPfRXmo,none
"those blond girls make me crazy, they are so annoying #mkr",none
#MKR This is fast becoming like that crap 80's movie- Neverending Story! More instant restaurants- Aaaaargh!,none
@benpobjie: And so well have whittled 18 down to 14 in just a few short months #MKR Knife fight in the car park would've been better!,none
Another instant restaurant round? WTF. #MKR,none
Can't even make your own chicken stock... #MKR,none
Hashtag killerblondes is the dickiest hashtag in all  #MKR history... Seriously... Why not #butcherthemodels,none
@PatriceChienne @mykitchenrules can understand that but the score seems so wack #mkr,none
Those spatchcock are still alive! #MKR,none
"Annie on Sunrise?

I'm wrong, that show could get worse

#MKR",none
"Lynn, I would have scored them a 2 #MKR",none
Just when they thought it was safe to go back into the kitchen... Instant restaurant redemption round! #mkr,none
except it's not the best looking instant restaurant.. It looks like two 13 year olds put it together #mkr,none
"This Season, if you can cook with frozen food, spice from a jar, tin tomatoes, jarred capsicum, you will do well.WHAT HAPPENED TO FRESH #MKR",none
"@berkeley_eagle #MKR  this shit show has more comebacks than Johnny Farnham, ok back to the #TheVoiceAu",none
I bet Drasko loves a bit of spatchcock #MKR,none
New #MKR format is 20Twenty... 20 teams in twenty years #snoozeyoulose,none
"Don't bother deconstructing my dessert, give me a fuckin lemon tart!!! #mkr",none
@Weeezza you must have been drunk five minutes into #MKR2015 #MKR,none
Not so spatchcocky now #MKR,none
"""I don't see how they thought it was so hard"" wanna change that love?? #mkr",none
There wasn't enough lemon in your lemon tart...other things there wasn't enough of...an actual tart #MKR,none
"Gold! RT @Weeezza: I've been playing the ""sass"" word drinking game and I've managed to deconstruct myself #MKR",none
"Apart from Ash and Robert, I'd pretty much forgotten about the rest of them. #MKR",none
@thirtyfiveblack @Sam__1985 If we're lucky. #MKR,none
I think I just threw up in my mouth a little #MKR,none
Trapped in a pole-dancing venue with that hotch potch and sausage impersonating food #MKR,none
@jez99 The Bruce McAvaney of #mkr ,none
@BunnikSacha Coz no one else will #mkr,none
"If someone has to get the highest score in history: 

It better be Eva &amp; Debra or Sherie &amp; Emilie. 

#MKR #MKR2015",none
"Drasko, Steve and Tennis Coach Bankrupt at the same table? #MKR",none
"@ACurrentAffair9 #mkr star that declared bankruptcy &amp; hides money is an asshole, i.e. Christopher Skase and his multimillionaire sons guilty",none
Entree worth a 3 max. My kids cook better than this and they know how to open cans! #MKR,none
Twitter makes me laugh....Better than the series ;)))))) Very funny   #MKR,none
My daughter will be in university before this season of #mkr finishes,none
"Let it sink in that it's now MARCH and we're STILL doing instant restaurants. When's this season gonna finish, 2016? #MKR #MKR2015",none
This is like that Movie from the 80's. The Never Ending Story. #MKR,none
@BurrawongGaian: @Le_bon_vivant_ @ConjurupFood @mykitchenrules well really spatchies are one of our specialties !! Best spatchcock #mkr,none
Is there anything the dreaded Draskco doesn't know #MKR,none
Sounds good. #killerblondes #mkr,none
If this horrendousness beats Lynn and Tony the angels I'll be so sad #MKR,none
#MKR I am nearly done with you. A 4th instant restaurant round. No. Three is too many as it is,none
"""We're not going to be de-boning this spatchcock. The other teams may be expecting cooking skills, but naaahhh"" #MKR",none
Fark. At this rate #mkr won't crown a winner until 2022. Just get on with it,none
"It's voil, not walla #mkr",none
@CarlyandTresne you are the best #MKR,none
Thanks for making #mkr an unbearable watch @Channel7. #stopdraggingitout!!,none
@shootshareeat @mykitchenrules No. It's obvious the producers want some volatile action between the women for ratings. #MKR,none
MORE instant restaurants? I'm so fucking sick of instant restaurants #mkr,none
*sigh* oh Colin  #MKR,none
Oh goody another surprise twist announcement....said no one ever in the history of watching a reality TV show ever #MKR,none
#mkr heading into 2017 with another instant restaurant round,none
Seems the entire AFL season will be shorter than #MKR,none
So who's out of #mkr ?,none
How can someone fuck up cous cous for fuck sake. I can make that shit with my eyes closed #mkr,none
"Katie &amp; Nikkie are ""pretty"" gutsy #MKR #mkr @mykitchenrules",none
Another fucking round of instant restaurants!!!!! Ahhh I just want kitchen headquarters to start! #mkr,none
oh Kat and Andre.. I forgot about those dickheads #mkr,none
#mkr Goodbye. Can't stand to watch those two (words fail me) again! That was not cooking.,none
This season's #MKR is going to finish in 2028 at this stage,none
"I'm sorry but I'm not watching another round. This is getting beyond ridiculous. When you actually get people who can cook, let me know #MKR",none
"Why the hell are the contestants surprised about this 'redemption' round on #MKR, it happens each season idiots",none
This show is going to air until Christmas isn't it? #MKR,none
I have eaten army food from tins that looked better than that. And less like a dick. #mkr,none
#mkr Promo girls are going to BRING IT in the next round. Yeah! Bring it! Bring your store bought capsicums!,none
Drasko in #MKR looks unnervingly like crazy Clay from TV show #Banshee,none
I can't imagine how many more times we will see the same ads in another instant kitchen round. I am now boycotting the products. #mkr,none
The glasses guy is thoroughly annoying. #MKR,none
It's not a surprise that there's another round they did it last time and the time before. #MKR,none
"This show will end on 3023 Dec 2111, but they'll spring another surprise round with the contestants great great great grandchildren #MKR",none
I thought Helena &amp; Vikki shared the #MKR record? I remember them saying its the equal highest with Nick &amp; Rocco,none
Which will end first: #mkr or Tony Abbott as PM?,none
Waiting for one of them to trip down the stairs #MKR,none
Looking forward to the next round of restaurants #MKR,none
"Can't believe there is another round of instant restaurants but I really Sheri &amp; Emilie, my fave team gets through! #MKR",none
Best part of tonight's #MKR Drasco Vs Steve. War of the Chef wannabes. #gotoculinaryschoolthen #younongs,none
At this rate the MKR final will be in December #MKR,none
how can you get a 7 for a dessert advertised as LEMON tart if it barely even has any lemon... #mkr,none
"Bloody hell, another round of instant restaurants . Stop draining it, Channel 7! #MKR",none
At this rate maybe they'll all be rocking up to my house soon expecting a meal - surprise round 47 #MKR,none
"Basically the #MKR ""twists"" are a series of annoying ways to extend this season.",none
"""We are losing our mum and dad.."" 
Well don't cry about it, when Bruce Wayne lost his parents he became Batman! #MKR",none
And BOOM! I'm officially turned off! Someone wake me when it's all over #MKR #MKR2015 #TakeYourTime #whateverdude,none
"Soz my kitchen rules I've lost interest, the instants restaurants are boring as anything 3 times let alone 4 #MyKitchenMistake #MKR",none
They really know how to drag a show out with #mkr.,none
I hope Lloyd and Drasko find each other. #mkr,none
Another round of instant restaurants? Are you serious #MKR? Yawn...,none
STOP WITH THE SASS OGBAISTEID #MKR,none
I'm thinking #MKR will go past Christmas Eve and get into 2016 at this rate!,none
I just want to see people who can cook. Not the worst of the worst cook badly again #MKR,none
"Oh fuck me hard with a rusty chainsaw, another round of instant restaurants??? #MKR",none
it's gonna a girls round on #mkr this week but idc bcuz it's time for #revenge &amp; L8r #sleepyhollow &amp; #Elementary ,none
See you GF week #mkr for the real stuff #boring #imdone,none
"Pete and Manu, you're back! We've missed you! #mkr",none
The final is in November  #MKR,none
@mykitchenrules Lyn and Tony you're wonderful people and we'll miss you #mkr,none
Lynn and Tony you've got no change. Say goodbye now #mkr,none
@finicalgal And dazzling white lights in his gob. #MKR,none
Current highest score ever on #mkr is Helena and Vicki in last year and Nick and Rocco in 2012. They both scored 95.,none
"@nickfalkner oh just you wait Nick, just you wait. The end of this episode will change how you view #MKR forever.",none
These bottom feeders go up against another secret round of secret instant restaurants with secret food they have to cook blind with? #MKR,none
"Wow, four rounds of instant restaurants. They know people will tune out when the second phase begins. How long will this go? #mkr",none
Giving the loser teams enough time to cook everything well &amp; beat the score record? I expect scores over 100. #mkr,none
RT @colonelkickhead: Can someone smash that bottle of Rose &amp; Lime Cordial over Drasko's head please #MKR,none
RT @CarlyandTresne: Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.,none
Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens #MKR,none
Not dumb blondes...mmm...perhaps just delusions of adequacy? #MKR,none
#mkr Omg there restaurant looks like a a little girls room oh my! Gosh,none
Ewwww #mkr,none
"RT @ashwilliams1: After that knockout round, this is how many teams are left on ""My Kitchen Rules"" #mkr http://t.co/utMpjn4ZtU",none
STFU Drasko!! #MKR,none
RT @mykitchenrules: Are you upset about tonight's elimination result? #MKR,none
Sorry #killerblondes but you are a long LONG way from refined. #mkr,none
"RT @peteBREAUX_: Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR",none
"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR",none
#mkr they have no shame!,none
#mkr what is this shit?,none
oh no.....#MKR,none
ANOTHER round of instant restaurants?! FFS #MKR,none
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,none
WTF....#mkr the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??,none
RT @Kathblue: #mkr is feeling a little rigged this year.,none
"#MKR
They say they liked the mains but they haven't eaten anything on their plates.
#sayforthesakeofsaying",none
I will not be using killer blondes as a hash tag! #MKR,none
Katie  and Nikki #MKR #MKR2015 http://t.co/IH5R1jWrSs,none
RT @kahlarsee: Can't wait to see who finally wins this competition....in 27 months #mkr,none
"RT @finicalgal: Stuffing up instant couscous should be an immediate elimination.
#MKR",none
RT @PoshLopez: Instant Restaurant round 47. #mkr,none
Drasko they didn't cook half a bird you idiot #mkr,none
RT @colonelkickhead: Here is my deconstructed Vanilla Cake...some assembly required #MKR http://t.co/Ah1suwvPJo,none
RT @andyrewbooth: #MKR2015 #MKR http://t.co/mD9TyU1MOn,none
RT @sculls_6: So this season of #MKR is going to finish in which decade? Such a drag,none
"How the f#*k are they ""models""? #MKR",none
"@mykitchenrules #MKR The girls are bringing some ""Sassy-ges"" to the table.",none
RT @NewIdeamagazine: They weren't kidding when they said deconstructed! #mkr,none
"RT @MolksTVTalk: Tonight's dessert is called ""Remains of the Day"". #MKR",none
Hopefully someone cooks Drasko in the next ep of #MKR,none
Just read the #killerblondes get through. Switching off. #MKR,none
#prayforlynn&amp;tony #mkr,none
RT @SueKennedy19: #MKR More comebacks than Johnny Farnham!,none
"RT @PatriceChienne: Corsetry, bloomers and hat pins will be back in fashion by the time this series ends. #MKR",none
"RT @tigernessie: Here's a suggestion, let's make Manu and Colin the main judges for the show! #MKR",none
"RT @mishbucsai: If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct.. #MKR #killerblondes",none
RT @LisaMRomano: My little lemon tarts #mkr http://t.co/XcwiPfRXmo,none
"RT @BeLikeNaNaNa: those blond girls make me crazy, they are so annoying #mkr",none
RT @SueKennedy19: #MKR This is fast becoming like that crap 80's movie- Neverending Story! More instant restaurants- Aaaaargh!,none
RT @AlvinNg: Another instant restaurant round? WTF. #MKR,none
RT @KeeniMaree: Hashtag killerblondes is the dickiest hashtag in all  #MKR history... Seriously... Why not #butcherthemodels,none
"RT @AmyMunce: #MKR maybe you girls should go back to cutting up cows and pigs, don't quit your day job!! @mykitchenrules",none
nothing worse than a raw cock....oh wait....#MKR,none
Guess one of em isn't too bad ;) #mkr,none
"To all you people saying ""NOOO! #mkr dragging on!"".. there's 14 teams an weeks after these instant restaraunts. It's only 3 more months. :)",none
"RT @SeaEph: Annie on Sunrise?

I'm wrong, that show could get worse

#MKR",none
RT @asifkatelyn: Waiting for them to say 'sassy sausage' #mkr,none
"These 2 delusional, narcissistic hostesses on #MKR make me want to vomit my own dinner up.",none
"RT @SydneyEditor1: Lynn, I would have scored them a 2 #MKR",none
"Ugh these #KillerBlondes are killer boring, and what's with spreading their dna all over the table? Unhygienic -and- gross! #MKR2015 #MKR",none
RT @digital_bunnies: These girls are pretty...awful. #gohome #MKR,none
RT @NewIdeamagazine: Just when they thought it was safe to go back into the kitchen... Instant restaurant redemption round! #mkr,none
RT @babybrucewayne: except it's not the best looking instant restaurant.. It looks like two 13 year olds put it together #mkr,none
RT @JazzyAds: @mykitchenrules if the vapid duo of conceit get through tonight I'm not watching again #suicideblondes #mkr,none
#Mkr,none
Maybe the girls should have less tickets on themselves and worry about the cooking. #MKR,none
RT @colonelkickhead: There wasn't enough lemon in your lemon tart...other things there wasn't enough of...an actual tart #MKR,none
"If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct.. #MKR #killerblondes",none
"""I don't think that's quite dead yet""-my mum #mkr",none
RT @SuzanneCarbone: Trapped in a pole-dancing venue with that hotch potch and sausage impersonating food #MKR,none
You know...kudos to #MKR for being able to stretch out a show....over a month onto the show and we still dont have final teams...,none
"If you talk the talk, you gotta walk the walk!! Do the girls know the recipe for humble pie??? #MKR",none
RT @SJL181: This is like that Movie from the 80's. The Never Ending Story. #MKR,none
"When you're on show, don't start making up dishes girls. #MKR #MKR2015",none
#MKR the fat South Africans are feeling hopeful,none
RT @shannoneurell: Fark. At this rate #mkr won't crown a winner until 2022. Just get on with it,none
If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves #mkr @mykitchenrules,none
"""Classy and elegant"" is one way of putting it... #mkr",none
RT @SuzanneCarbone: Kel the butcher has never heard of these silly sausages on #mkr http://t.co/CHGKB1rirW,none
RT @colonelkickhead: Oh goody another surprise twist announcement....said no one ever in the history of watching a reality TV show ever #MKR,none
RT @john_rosato: #mkr heading into 2017 with another instant restaurant round,none
#MKR2015 #MKR why do they keep saying that they are so pretty,none
RT @drdisco_: Seems the entire AFL season will be shorter than #MKR,none
Who's out?  #MKR,none
RT @laurapolot: How can someone fuck up cous cous for fuck sake. I can make that shit with my eyes closed #mkr,none
Is #mkr sexist then? Four of the six teams in the fourth instant restaurants are an all-female team.,none
"RT @edithcollier: Why the hell are the contestants surprised about this 'redemption' round on #MKR, it happens each season idiots",none
RT @120dollarsfood: This show is going to air until Christmas isn't it? #MKR,none
RT @nickfalkner: I have eaten army food from tins that looked better than that. And less like a dick. #mkr,none
RT @muffintopmon: .@lukeyook I don't think there's anything more ugly than announcing how pretty you are over and over again. #MKR,none
YES! RT @mykitchenrules: Are you upset about tonight's elimination result? #MKR,none
why is their whole menu dick related?!?!?! #MKR,none
RT @trinnybopper: STOP SAYING SASS OR I WILL PUT MY FOOT UP YOUR ASS #MKR,none
RT @JL_Whitaker: Which will end first: #mkr or Tony Abbott as PM?,none
What a riveting little lesson in walking the catwalk. Thanks ladies #MKR,none
RT @kerriscupcakes: At this rate the MKR final will be in December #MKR,none
@EloisePeace agree! I lose interest after instant restaurants. Think they're cashing in on that fact this year. #mkr,none
yeah colin would be looking for more fat in his sausage.... #MKR,none
.@lukeyook I don't think there's anything more ugly than announcing how pretty you are over and over again. #MKR,none
"RT @finicalgal: Basically the #MKR ""twists"" are a series of annoying ways to extend this season.",none
"RT @The_Eccles: ""We are losing our mum and dad.."" 
Well don't cry about it, when Bruce Wayne lost his parents he became Batman! #MKR",none
@Craigles60Craig Fuck me hard with a rusty chainsaw!!! #MKR,none
"RT @TVWEEKmag: Pete and Manu, you're back! We've missed you! #mkr",none
"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015",none
Kim Kardashian has had marriages that didn't stretch as long as #MKR,none
Absolutely #blondemoment #MKR,none
RT @colonelkickhead: And we'll keep doing instant restaurant rounds until these people can learn to bloody cook! #MKR,none
It would of been funnier if those two bottom teams just got eliminated haha #mkr,none
#coles #coles #MKR #snore,none
Personally think only one team should go through. They'll be cooking Christmas lunch in the finale the way this is shaping up! #MKR,none
A redemption round? This is too much  #MKR,none
Fuck!!! Do we have to suffer Annie and Lloyd again!?!?! Fuuuuuck #MKR,none
Oh so we already know whoever cooks tomorrow is gonna score 865... ill switch off at 7:35 then #mkr,none
@No_KitchenRules NAY #mkr,none
Ceeeeeeeebs another instant restaurant round #MKR,none
RT @CarlyandTresne: Yay Robert and Lynzey and Sheri and Emilie are back!!!! #MKR,none
WTF IS GOING ON #MKR,none
It looks like a poo in a bowl #MKR,none
"Patience wearing thin with all these rounds #MKR. Feels like we'll still be here at xmas 'the absolutely last, we're almost there round'",none
"Oh $deity, Psycho Annie is back. &gt;:-( #MKR",none
RT @norme73: #mkr aaaah fark. now I wish those raspberries were Nannas,none
I fucking want Ash back. I need her back! #MKR,none
"""Only the best will enter Kitchen Head Quarters. And Pete's the best at speaking in phrases punctuated by weird pauses.""
#MKR",none
Maybe we need a dedicated #mkr channel that goes 24/7,none
ANOTHER home visits round?! i'm literally fucking done #MKR,none
And we'll keep doing instant restaurant rounds until these people can learn to bloody cook! #MKR,none
This season is going to go on forever #mkr,none
Another instant restaurant round!!! FFS are you kidding! I am done with this show #MKR,none
Hooray! #MKR just got exciting again lol,none
@amsatweet holy crap #MKR,none
Another round of instant restaurants! #MKR This competition should finish sometime in 2018,none
Annie reminds me of Annabelle #MKR http://t.co/3Dprk4hBba,none
RT @Catatwitering: Enough with the instant restaurants already!  #MKR,none
Too. Much. Pause. For. Effect. Pete. Evans. Just annoying....not dramatic. #MKR2015 #MKR,none
"I don't care who it is, just as long as it's not the #promogirls #MKR",none
"Fuck me,  this show will still be running at Christmas #mkr",none
Just get rid of the two big drips #MKR,none
#mkr Bring it on !!,none
I can't handle another round of this crap #mkr,none
NOOOOOOOOO! Not another instant restaurant round! Waaaaaaaaaah #MKR,none
EUUUUUUURGGGGH NOT AGAIN #MKR,none
This show has been going for eleventy weeks and so far only 3 out of 18 teams eliminated? Talk about over egging the pud #mkr #ridic,none
I actually literally do not have patience for this hey #MKR,none
"A shot for every time we have to hear the word ""sassy"" and hopefully we'll all be passed out before dessert is served. #MKR #somuchsass",none
#mkr is going to be so good tomorrow. can't wait.,none
"""This is the opportunity to prove ourselves like we didn't the first time."" Er. Yeah. That's the spirit. #MKR",none
More instant restaurants? Are you serioussssss #MKR,none
Yeah Katie and Nikki are so going to LOVE Annie #mkr,none
"This is a joke, right. #mkr",none
Too many cooks. #MKR,none
i actually think the instant restaurants are the best part of the series #MKR,none
HAHAHAHAHA suckers!!!!! #mkr,none
RT @the_red_heifer: Holy fuck another Instant Restaurant round? Give it a fucking rest you gluttonous cunts #mkr,none
Bugger forgot Simon Reeve was on SBS tonight #mkr,none
FFS! No more instant restaurant rounds!!! #sigh #mkr,none
Bloody hell! How many more times can we see these people cook at home? #MKR,none
"Another round of instant restaurants, get to the good stuff already #MKR",none
Really dragging the season out this year #mkr,none
